material_id,e_electronic,e_ionic,e_total
mp-990424,6.597796033333334,0.000274913333333,6.598070946666667
mp-23153,9.909754803333334,1.695673070001759,11.605427873335094
mp-1395134,2.649448046666666,2.889522866666667,5.538970913333333
mp-1402840,2.25926184,3.155524946666666,5.414786786666667
mp-15622,9.54792843,3.488366886666666,13.036295316666669
mp-1683,9.798381139999998,3.595182446666665,13.393563586666666
mp-27684,8.153626166666667,25.47179337333333,33.62541954
mp-9920,10.03656027,4.5867522,14.623312470000002
mp-9921,6.697427606666667,3.206249439999999,9.903677046666669
mp-9922,6.466551876666666,3.135378263333333,9.60193014
mp-1025442,6.027629450000003,0.281638203333333,6.309267653333336
mp-1101301,3.392856670000001,3.28366542,6.676522090000001
mp-1205567,6.68529251,2.372190413333333,9.057482923333332
mp-1206058,3.319752693333333,4.66598415,7.985736843333334
mp-1206891,6.995712170000001,0.402014326666666,7.397726496666667
mp-25469,2.847340403333334,2.500801656656342,5.348142059989676
mp-27397,5.157476386676107,0.343770963335695,5.501247350011802
mp-27455,2.609430800001174,2.310821209939461,4.920252009940635
mp-27630,4.023255883316481,1.303946179918448,5.327202063234929
mp-27666,4.436844540013843,0.374949739987818,4.811794280001662
mp-27770,4.915396753369841,0.5273338933370431,5.442730646706885
mp-27871,6.124431393333964,0.5024927998690301,6.626924193202996
mp-2793,10.760450836666667,0.530194983333333,11.29064582
mp-545796,6.178100990408417,12.99108503427077,19.16918602467919
mp-568301,3.9035729299999993,6.208317136666667,10.111890066666668
mp-569410,3.303773406667532,2.8792933600034463,6.183066766670978
mp-570219,3.663956386675037,3.5108603894198183,7.174816776094858
mp-695850,3.247951025608017,3.5120256827712613,6.75997670837928
mp-754815,3.121391186666667,2.544212233333333,5.665603420000001
mp-9254,9.005916020001733,9.615242260019366,18.621158280021096
mp-2097,7.291434,11.373192913333334,18.664626913333336
mp-22917,4.799522433333332,6.76951615,11.569038583333333
mp-567809,4.730618676666666,3.641308196666665,8.371926873333331
mp-23192,4.84915715,7.668302056666666,12.517459206666665
mp-567279,2.819623613333333,2.51865057,5.338274183333333
mp-568742,4.92856204,4.08987097,9.01843301
mp-2706,2.384475317246903,5.637031291082921,8.021506608329824
mp-341,2.889321930037198,6.240289152113475,9.129611082150673
mp-706,4.449181010004918,15.455174728341165,19.904355738346087
mp-1190647,2.6789203500000003,22.338928646666663,25.017848996666668
mp-1443,2.869652793333333,12.063291836666664,14.93294463
mp-1581,3.410122386666666,3.156138866666667,6.566261253333334
mp-1582,3.516425256666666,2.9612642,6.477689456666667
mp-23170,5.114327146666667,11.470708996666666,16.585036143333333
mp-28319,7.481927453333334,0.722812173333333,8.204739626666667
mp-540922,20.80502639,1.464205006666666,22.26923139666667
mp-554799,2.605703106666666,9.917650323333334,12.52335343
