target,rank,feature
e_total,12,MagpieData_mean_NUnfilled
e_total,13,CrystalNNF_2
e_total,14,MagpieData_mean_NdValence
e_total,15,mean_ordering_parameter_shell_2
e_total,16,MagpieData_mode_Electronegativity
e_total,17,MagpieData_maximum_CovalentRadius
e_total,18,MagpieData_mean_Number
e_total,19,MagpieData_maximum_GSvolume_pa
e_total,20,Avg_Bond
e_total,21,CrystalNNF_20
e_total,22,CrystalNNF_24
e_total,23,MagpieData_mean_NValence
e_total,24,CrystalNNF_18
e_total,25,mean_neighbor_distance_variation
e_total,26,MagpieData_avg_dev_GSvolume_pa
e_total,27,OFM__s_2___s_2
e_total,28,MagpieData_mean_CovalentRadius
e_total,29,OFM__s_2___p_2
e_total,30,MagpieData_mean_GSbandgap
e_total,31,OFM__p_2___d_10
e_total,32,MagpieData_minimum_GSvolume_pa
e_total,33,max_relative_bond_length
e_total,34,MagpieData_maximum_Number
e_total,35,MagpieData_avg_dev_CovalentRadius
e_total,36,OFM__p_6___p_4
e_total,37,MagpieData_avg_dev_NpUnfilled
e_total,38,CrystalNNF_5
e_total,39,mean_absolute_deviation_in_relative_cell_size
e_total,40,Bond_Std
e_total,41,MagpieData_minimum_Electronegativity
e_total,42,MagpieData_avg_dev_NValence
e_total,43,min_relative_bond_length
e_total,44,rdf__5_90000___6_00000_A
e_total,45,OFM__p_4___p_4
e_total,46,MagpieData_avg_dev_NUnfilled
e_total,47,mean_absolute_deviation_in_relative_bond_length
e_total,48,rdf__13_40000___13_50000_A
e_total,49,OFM__s_2___d_2
e_total,50,MagpieData_avg_dev_MeltingT
e_total,51,IBS
e_total,52,rdf__12_20000___12_30000_A
e_total,53,CrystalNNF_25
e_total,54,t_eff
e_total,55,OFM__p_3___d_10
e_total,56,MagpieData_maximum_GSbandgap
e_total,57,JAI_Radius
e_total,58,rdf__4_10000___4_20000_A
e_total,59,rdf__9_00000___9_10000_A
e_total,60,MagpieData_avg_dev_Number
e_total,61,MagpieData_avg_dev_NpValence
e_total,62,minimum_neighbor_distance_variation
e_total,63,MagpieData_maximum_NdValence
e_total,64,MagpieData_maximum_NpUnfilled
e_total,65,MagpieData_avg_dev_Column
e_total,66,MagpieData_range_CovalentRadius
e_total,67,MagpieData_mean_Row
e_total,68,CrystalNNF_9
e_total,69,rdf__14_70000___14_80000_A
e_total,70,rdf__5_50000___5_60000_A
e_total,71,MagpieData_mean_Column
e_total,72,OFM__p_2___p_2
e_total,73,rdf__19_00000___19_10000_A
e_total,74,rdf__19_40000___19_50000_A
e_total,75,maximum_neighbor_distance_variation
